stage	production_file	recovered_from_session	executed_utc	original_scratch_path	what_it_does	writes
07	production/stage07/s07h_clone_membership.py	77d8225f	2026-08-25T15:50:49Z	/tmp/claude-1000/-media-wrath-CART-mm-dual-antigen/77d8225f-3278-4204-8b06-7f58a1d38646/scratchpad/s06/clone.py	dominant-V rule, per-cell clone-state construction, V-detection depth bias	results/07_malignant_plasma/v_clone_membership/patient_v_evaluability.csv; patient_dominant_v_rule.csv; clone_membership_per_cell.csv.gz; clone_membership_summary_by_patient.csv; v_detection_depth_bias_*.csv
07	production/stage07/s07i_clone_bias_and_denominators.py	77d8225f	2026-08-25T15:52:11Z	/tmp/claude-1000/-media-wrath-CART-mm-dual-antigen/77d8225f-3278-4204-8b06-7f58a1d38646/scratchpad/s06/clone2.py	V-detection antigen bias, repeated-sample clone consistency, primary/sensitivity denominator sizes	results/07_malignant_plasma/v_clone_membership/v_detection_antigen_bias_*.csv; repeated_sample_clone_consistency.csv; primary_vs_sensitivity_denominator_sizes.csv
07	production/stage07/s07j_antigen_circularity_invariance.py	77d8225f	2026-08-25T15:57:13Z	$S/invar.py	six-perturbation antigen-invariance proof for the clone call	results/07_malignant_plasma/v_clone_membership/antigen_circularity_invariance.{py,md}
08	production/stage08/s08a_patient_antigen_states.py	77d8225f	2026-08-25T16:06:57Z	$S/s08.py	raw-count antigen calls, cohort depth strata, per-patient DN + depth-conditioned null + hierarchical bootstrap	results/08_dual_antigen_escape/depth_strata_definition.csv; patient_antigen_states_primary.csv; patient_antigen_states_sensitivity.csv; patient_conegativity_enrichment.csv; patient_bootstrap_intervals.csv
08	production/stage08/s08b_null_scheme_truncate10k_denominator_ambient.py	77d8225f	2026-08-25T16:08:02Z	$S/s08b.py	cohort vs global null scheme, truncate-all-at-10k, primary-vs-sensitivity, ambient floor	results/08_dual_antigen_escape/depth_stratified_null.csv; truncate10k_sensitivity.csv; primary_vs_sensitivity_denominator_comparison.csv; noise_floor_ambient.csv
08	production/stage08/s08c_cell_states_repeated_technical_zero.py	77d8225f	2026-08-25T16:08:46Z	$S/s08c.py	per-cell antigen states, repeated-sample consistency, expression-matched technical-zero floor	results/08_dual_antigen_escape/cell_antigen_states.csv.gz; repeated_sample_antigen_consistency.csv; noise_floor_technical_zero.csv
08	production/stage08/s08d_patient_evidence_states.py	77d8225f	2026-08-25T16:09:34Z	$S/s08d.py	per-patient uncertainty/evidence flags	results/08_dual_antigen_escape/patient_evidence_states.csv
08	production/stage08/s08e_antigen_states_checkpoint.py	77d8225f	2026-08-25T16:09:51Z	$S/s08e.py	antigen-state AnnData checkpoint	results/08_dual_antigen_escape/antigen_states.h5ad
09	production/stage09/s09a_bulk_antigen_abundance.py	77d8225f	2026-08-25T16:36:54Z	$S/s09a.py	GSE223061 TPM load, stub exclusion, MMRF multi-run averaging	results/09_bulk_validation/bulk_antigen_abundance.csv
09	production/stage09/s09b_sc_bulk_sample_mapping.py	77d8225f	2026-08-25T16:37:23Z	$S/s09b.py	matched bulk/scRNA pairing, cohort-split assay rule	results/09_bulk_validation/sc_bulk_sample_mapping.csv
09	production/stage09/s09c_marginal_correlations.py	77d8225f	2026-08-25T16:38:07Z	$S/s09c.py	marginal TNFRSF17/GPRC5D pseudobulk-vs-bulk correlations, both denominators, truncate-10k	results/09_bulk_validation/sc_marginal_antigen_{primary,sensitivity}.csv; bulk_vs_sc_tnfrsf17.csv; bulk_vs_sc_gprc5d.csv; bulk_vs_sc_by_cohort.csv; bulk_vs_sc_truncate10k_sensitivity.csv
09	production/stage09/s09d_repeated_and_normal_marrow.py	77d8225f	2026-08-25T16:38:54Z	$S/s09d.py	repeated-sample bulk consistency and normal-marrow expression context	results/09_bulk_validation/repeated_sample_bulk_consistency.csv; normal_marrow_antigen_context.csv
09b	production/stage09b/s09b1_patient_evidence_matrix.py	77d8225f	2026-08-25T16:25:19Z	$S/mat.py	per-patient evidence matrix from Stage-07/08 evidence only	results/08_dual_antigen_escape/risk_tier_design/patient_evidence_matrix.csv
09b	production/stage09b/s09b2_provisional_tiers.py	77d8225f	2026-08-25T21:03:45Z	$S/tier.py	tier assignment + tau threshold sensitivity	results/08_dual_antigen_escape/risk_tier_provisional/risk_tiers_provisional.csv (written as risk_tiers_final.csv, later renamed); risk_tiers_tau0{20,25,33}.csv; risk_tier_threshold_comparison.csv; risk_tier_evidence_long.csv
09b	production/stage09b/s09b3_cohort_diagnostic.py	9ccb4002	2026-08-26T22:08:20Z	$SP/diag.py	tier-by-cohort diagnostic	results/08_dual_antigen_escape/risk_tier_provisional/risk_tier_by_cohort_diagnostic.csv
09b	production/stage09b/s09b4_provisional_relabel.sh	77d8225f	2026-08-25T22:25:05Z	(inline heredoc executed directly from the shell)	terminological relabel final -> provisional (rename + README only; no number changed)	results/08_dual_antigen_escape/risk_tier_provisional/ (directory and file renames, README_PROVISIONAL.md)
10	production/stage10/s10a_level1_structure_and_per_patient_de.py	77d8225f	2026-08-25T22:29:27Z	$S/s10.py	patient-local unintegrated embedding, Moran I, depth-stratified permutation, per-patient depth-matched DE	results/10_dn_coherence/stage10_evaluability.csv; dn_local_structure_by_patient.csv; dn_vs_nondn_depth_diagnostic.csv; de_per_patient/_de_<patient>_<denominator>.csv
10	production/stage10/s10b_states_repeated_and_denominators.py	77d8225f	2026-08-25T22:30:56Z	$S/s10b.py	Level-1 state calls, repeated-sample structure, primary-vs-sensitivity coherence	results/10_dn_coherence/repeated_sample_dn_coherence.csv; dn_coherence_final_states.csv; primary_vs_sensitivity_coherence.csv; dn_program_summary_by_patient.csv; dn_de_by_patient.csv
10	production/stage10/s10c_program_scores_and_cohort_tests.py	77d8225f	2026-08-25T22:56:53Z	$S/s10c.py	frozen seven program scores, depth association, cohort-level program tests	results/10_dn_coherence/program_score_vs_depth.csv; dn_program_scores_by_patient.csv; level2_program_cohort_tests.csv
10	production/stage10/s10d_hypotheses_and_evidence_levels.py	77d8225f	2026-08-25T22:57:42Z	$S/s10d.py	pre-registered gamma-secretase test, MYC/OXPHOS, stress/IFN/UPR/AP, Level-2 state calls, evidence levels	results/10_dn_coherence/gamma_secretase_hypothesis.csv; myc_oxphos_programs.csv; stress_ifn_upr_antigen_presentation.csv; stage10_evidence_levels.csv; pseudobulk_de_evaluability.csv
10	production/stage10/s10e_pseudobulk_de_decoupler_tc.py	77d8225f	2026-08-25T22:58:37Z	$S/s10e.py	cohort pseudobulk DE (patient as replicate), decoupler, TC-like subtype	results/10_dn_coherence/level2_program_cross_correlation.csv; pseudobulk_de_results.csv; decoupler_pathway_results.csv; tc_like_subtype.csv
10	production/stage10/s10f_decoupler_full_space.py	77d8225f	2026-08-25T22:59:14Z	$S/s10f.py	decoupler re-run retaining the full tested space	results/10_dn_coherence/decoupler_pathway_results.csv
10	production/stage10/s10g_level2_interpretation_and_freeze.sh	77d8225f	2026-08-26T00:42:30Z	(inline heredoc executed directly from the shell)	adds level2_interpretation column and writes the Stage-10 freeze README	results/10_dn_coherence/stage10_evidence_levels.csv (level2_interpretation column); README_STAGE10_FROZEN.md
